,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0007212688418248205,
                                    l1_ratio=0.7837353108427191,
                                    solver='saga'))])",0.841344746992109,0.012215351339483623,334,0.8291293956526254
1,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004290216086021551,
                                    class_weight='balanced',
                                    l1_ratio=0.25974292212762395,
                                    penalty='elasticnet', solver='saga'))])",0.7626690490362483,0.01604867176079015,458,0.7466203772754582
2,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.03910661596687779,
                                    l1_ratio=0.780439310150162, penalty='l1',
                                    solver='saga'))])",0.7773048182953309,0.012670469963398687,919,0.7646343483319322
3,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.026183459554133925,
                                    class_weight='balanced',
                                    l1_ratio=0.8546775592027672, penalty='l1',
                                    solver='saga'))])",0.6425995849587691,0.026356719240981753,619,0.6162428657177874
4,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.003381850579585911,
                                    class_weight='balanced',
                                    l1_ratio=0.30305862300927067,
                                    penalty='elasticnet', solver='saga'))])",0.7362593766977258,0.011172680899591449,306,0.7250866957981343
5,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0030769636885210057,
                                    class_weight='balanced',
                                    l1_ratio=0.05502405799292476,
                                    penalty='elasticnet', solver='saga'))])",0.881526429687896,0.0283958439800466,469,0.8531305857078494
6,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.019439642570678626,
                                    class_weight='balanced',
                                    l1_ratio=0.3888324065805512, penalty='l1',
                                    solver='saga'))])",0.8633510979413473,0.01008055084717814,512,0.8532705470941692
7,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.037223306340585134,
                                    l1_ratio=0.23660342933243594, penalty='l1',
                                    solver='saga'))])",0.8874104059075156,0.005698095095386838,278,0.8817123108121288
8,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0011731723883610214,
                                    class_weight='balanced',
                                    l1_ratio=0.09794070998199744,
                                    solver='saga'))])",0.8751635050974763,0.005924923498043555,931,0.8692385815994328
9,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0015691876200348658,
                                    class_weight='balanced',
                                    l1_ratio=0.0884386743153891,
                                    solver='saga'))])",0.8511074037100695,0.022675902035506863,276,0.8284315016745627
10,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0011436481197243736,
                                    class_weight='balanced',
                                    l1_ratio=0.917636471189893,
                                    solver='saga'))])",0.9143635419600297,0.004973234624015908,524,0.9093903073360138
11,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.02351089881583782,
                                    l1_ratio=0.6483285905178473, penalty='l1',
                                    solver='saga'))])",0.6918488520331882,0.02218868545876736,294,0.6696601665744208
