,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
1,"[0.6437877933791124, 0.4773, 0.6798]","[0.5520803521539446, 0.5108, 0.5425]"
2,"[0.6504304601824331, 0.5341, 0.6561]","[0.5754357632500648, 0.7097, 0.4373]"
3,"[0.6629214922619656, 0.5795, 0.6223]","[0.6094961636480096, 0.5484, 0.6096]"
4,"[0.6588859280516552, 0.6591, 0.5626]","[0.6071521048830015, 0.6129, 0.5158]"
5,"[0.6646253971507634, 0.6931, 0.549]","[0.6113257560270929, 0.5753, 0.5627]"
6,"[0.6653556421031055, 0.6704, 0.5682]","[0.6220068958938088, 0.6828, 0.4854]"
7,"[0.6613713231526084, 0.6931, 0.5648]","[0.6370150047017458, 0.6183, 0.5741]"
8,"[0.662511530183458, 0.6591, 0.5716]","[0.6302894640009812, 0.6344, 0.5323]"
9,"[0.6624859075535514, 0.6931, 0.549]","[0.6136630006677842, 0.5914, 0.5779]"
10,"[0.6655221891974992, 0.6818, 0.549]","[0.6089476266405004, 0.6505, 0.5044]"
11,"[0.666073075740494, 0.6818, 0.5547]","[0.6031181432874061, 0.6451, 0.507]"
12,"[0.6671748488264835, 0.6136, 0.584]","[0.6017348760510787, 0.6183, 0.5196]"
13,"[0.6671876601414369, 0.6931, 0.5479]","[0.6006207667252681, 0.6021, 0.5158]"
14,"[0.6664061699292815, 0.6818, 0.5479]","[0.6037007509164998, 0.629, 0.5222]"
15,"[0.666316490724608, 0.6591, 0.5727]","[0.6037041579786582, 0.6236, 0.5551]"
16,"[0.6663164907246081, 0.6591, 0.5727]","[0.608296877768238, 0.6882, 0.4689]"
17,"[0.6663164907246081, 0.6591, 0.5727]","[0.6145454297668207, 0.5968, 0.583]"
18,"[0.6663164907246081, 0.6591, 0.5727]","[0.6126919879526282, 0.6075, 0.5868]"
19,"[0.6663164907246081, 0.6591, 0.5727]","[0.6122831404936152, 0.6505, 0.512]"
20,"[0.6662780567797479, 0.6591, 0.5727]","[0.6218024721643023, 0.5591, 0.6274]"
21,"[0.6663036794096546, 0.6591, 0.5727]","[0.6156016190359378, 0.6021, 0.5805]"
22,"[0.6663164907246081, 0.6591, 0.5727]","[0.6154789647982337, 0.6882, 0.4601]"
23,"[0.6663164907246081, 0.6591, 0.5727]","[0.618225056897938, 0.5753, 0.5754]"
24,"[0.6663164907246081, 0.6591, 0.5727]","[0.6165760388132521, 0.5591, 0.5678]"
25,"[0.6662780567797479, 0.6591, 0.5727]","[0.6312468484675035, 0.6183, 0.5602]"
26,"[0.6663036794096546, 0.6591, 0.5727]","[0.6306744620248852, 0.6236, 0.5437]"
27,"[0.6663293020395614, 0.6591, 0.5727]","[0.6249437834743857, 0.6559, 0.5196]"
28,"[0.6663164907246081, 0.6591, 0.5727]","[0.6282554478923913, 0.6075, 0.5716]"
29,"[0.6663164907246081, 0.6591, 0.5727]","[0.6342246207939818, 0.6398, 0.5627]"
30,"[0.6663164907246081, 0.6591, 0.5727]","[0.6348310778581845, 0.6828, 0.5184]"
31,"[0.6663036794096546, 0.6591, 0.5727]","[0.6344699292693896, 0.629, 0.5894]"
32,"[0.6663164907246081, 0.6591, 0.5727]","[0.6305313654142306, 0.6505, 0.5437]"
33,"[0.6663036794096546, 0.6591, 0.5727]","[0.6321599411259659, 0.5215, 0.6515]"
34,"[0.6663036794096546, 0.6591, 0.5727]","[0.6339656840699401, 0.6075, 0.5602]"
35,"[0.6663164907246081, 0.6591, 0.5727]","[0.6323711789797895, 0.5753, 0.6046]"
36,"[0.6662908680947013, 0.6591, 0.5727]","[0.6322553388664022, 0.5323, 0.6527]"
37,"[0.6663164907246081, 0.6591, 0.5727]","[0.6294206631505785, 0.5699, 0.6046]"
38,"[0.6663164907246081, 0.6591, 0.5727]","[0.6268858089046976, 0.5645, 0.6096]"
39,"[0.6663164907246081, 0.6591, 0.5727]","[0.6300748190849993, 0.5914, 0.5881]"
40,"[0.6663164907246081, 0.6591, 0.5727]","[0.6274445670986821, 0.5215, 0.6781]"
41,"[0.6663164907246081, 0.6591, 0.5727]","[0.6272810281150769, 0.6613, 0.5298]"
42,"[0.6663164907246081, 0.6591, 0.5727]","[0.6389945078158006, 0.6344, 0.545]"
43,"[0.6663164907246081, 0.6591, 0.5727]","[0.6403914033007618, 0.5484, 0.6464]"
44,"[0.6663164907246081, 0.6591, 0.5727]","[0.6499039208471319, 0.5699, 0.6248]"
45,"[0.6662780567797478, 0.6591, 0.5727]","[0.6545784101285145, 0.5484, 0.6844]"
46,"[0.6663164907246081, 0.6591, 0.5727]","[0.6500061327118852, 0.5591, 0.6324]"
47,"[0.6663036794096546, 0.6591, 0.5727]","[0.6572018479905147, 0.5161, 0.7021]"
48,"[0.6662524341498411, 0.6591, 0.5727]","[0.6642612807828067, 0.6129, 0.5944]"
49,"[0.6663036794096546, 0.6591, 0.5727]","[0.6583193643784837, 0.5968, 0.6236]"
50,"[0.6663164907246081, 0.6591, 0.5727]","[0.653249655886722, 0.5753, 0.6312]"
