,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
50,"0.6591,0.5727","0.5753,0.6312"
49,"0.6591,0.5727","0.5968,0.6236"
48,"0.6591,0.5727","0.6129,0.5944"
47,"0.6591,0.5727","0.5161,0.7021"
46,"0.6591,0.5727","0.5591,0.6324"
45,"0.6591,0.5727","0.5484,0.6844"
44,"0.6591,0.5727","0.5699,0.6248"
43,"0.6591,0.5727","0.5484,0.6464"
42,"0.6591,0.5727","0.6344,0.545"
41,"0.6591,0.5727","0.6613,0.5298"
40,"0.6591,0.5727","0.5215,0.6781"
39,"0.6591,0.5727","0.5914,0.5881"
38,"0.6591,0.5727","0.5645,0.6096"
37,"0.6591,0.5727","0.5699,0.6046"
36,"0.6591,0.5727","0.5323,0.6527"
35,"0.6591,0.5727","0.5753,0.6046"
34,"0.6591,0.5727","0.6075,0.5602"
33,"0.6591,0.5727","0.5215,0.6515"
32,"0.6591,0.5727","0.6505,0.5437"
31,"0.6591,0.5727","0.629,0.5894"
30,"0.6591,0.5727","0.6828,0.5184"
29,"0.6591,0.5727","0.6398,0.5627"
28,"0.6591,0.5727","0.6075,0.5716"
27,"0.6591,0.5727","0.6559,0.5196"
26,"0.6591,0.5727","0.6236,0.5437"
25,"0.6591,0.5727","0.6183,0.5602"
24,"0.6591,0.5727","0.5591,0.5678"
23,"0.6591,0.5727","0.5753,0.5754"
22,"0.6591,0.5727","0.6882,0.4601"
21,"0.6591,0.5727","0.6021,0.5805"
20,"0.6591,0.5727","0.5591,0.6274"
19,"0.6591,0.5727","0.6505,0.512"
18,"0.6591,0.5727","0.6075,0.5868"
17,"0.6591,0.5727","0.5968,0.583"
16,"0.6591,0.5727","0.6882,0.4689"
15,"0.6591,0.5727","0.6236,0.5551"
14,"0.6818,0.5479","0.629,0.5222"
13,"0.6931,0.5479","0.6021,0.5158"
12,"0.6136,0.584","0.6183,0.5196"
11,"0.6818,0.5547","0.6451,0.507"
10,"0.6818,0.549","0.6505,0.5044"
9,"0.6931,0.549","0.5914,0.5779"
8,"0.6591,0.5716","0.6344,0.5323"
7,"0.6931,0.5648","0.6183,0.5741"
6,"0.6704,0.5682","0.6828,0.4854"
5,"0.6931,0.549","0.5753,0.5627"
4,"0.6591,0.5626","0.6129,0.5158"
3,"0.5795,0.6223","0.5484,0.6096"
2,"0.5341,0.6561","0.7097,0.4373"
1,"0.4773,0.6798","0.5108,0.5425"
