,Diag: Autism Spectrum Disorder
1,"[0.7153808418855995, 0.7961, 0.544]"
2,"[0.7727407222836498, 0.7516, 0.6577]"
3,"[0.8387047794060394, 0.6751, 0.846]"
4,"[0.8387047794060394, 0.6751, 0.846]"
5,"[0.8374122062510706, 0.6942, 0.8081]"
6,"[0.8619555230249326, 0.7707, 0.8117]"
7,"[0.8619555230249326, 0.7707, 0.8117]"
8,"[0.8623331724105711, 0.7834, 0.7958]"
9,"[0.8697966143927243, 0.777, 0.8105]"
10,"[0.8705324467008239, 0.7579, 0.8313]"
11,"[0.8752666905455282, 0.7388, 0.8508]"
12,"[0.8759596966346379, 0.7133, 0.8643]"
13,"[0.8800788002429414, 0.7579, 0.8264]"
14,"[0.8808652453553019, 0.8025, 0.8154]"
15,"[0.88032797097161, 0.7707, 0.8521]"
16,"[0.882718452649775, 0.7898, 0.8521]"
17,"[0.8846650989674988, 0.7898, 0.8276]"
18,"[0.885770794075966, 0.7898, 0.8337]"
19,"[0.885840873343404, 0.8025, 0.8325]"
20,"[0.8858953794403002, 0.8025, 0.8337]"
21,"[0.8858953794403002, 0.8025, 0.8337]"
22,"[0.8863002818743868, 0.656, 0.9034]"
23,"[0.8857240745643405, 0.7834, 0.8423]"
24,"[0.8847118184791242, 0.6751, 0.8912]"
25,"[0.8846495257969569, 0.6751, 0.8924]"
26,"[0.8850622148163143, 0.6688, 0.8924]"
27,"[0.8865650257735973, 0.8662, 0.7824]"
28,"[0.8861756965100525, 0.8662, 0.7848]"
29,"[0.8869232086960586, 0.6942, 0.8802]"
30,"[0.8877953062463987, 0.6942, 0.8851]"
31,"[0.8868531294286203, 0.6688, 0.8997]"
32,"[0.8867752635759114, 0.6942, 0.879]"
33,"[0.8867830501611822, 0.6942, 0.879]"
34,"[0.8875149891766464, 0.7516, 0.8667]"
35,"[0.8903337330447105, 0.7834, 0.8484]"
36,"[0.8903181598741686, 0.7834, 0.8484]"
37,"[0.8903181598741686, 0.7834, 0.8484]"
38,"[0.8915406537616993, 0.7707, 0.8692]"
39,"[0.8915250805911575, 0.7707, 0.8692]"
40,"[0.8912914830330305, 0.7516, 0.8729]"
41,"[0.8920389952190365, 0.7579, 0.8704]"
42,"[0.8920701415601202, 0.7579, 0.868]"
43,"[0.892085714730662, 0.7579, 0.868]"
44,"[0.8921168610717456, 0.7643, 0.8667]"
45,"[0.892233659850809, 0.7898, 0.8557]"
46,"[0.892459470823665, 0.7516, 0.8667]"
47,"[0.8924361110678523, 0.7516, 0.8667]"
48,"[0.8924283244825814, 0.7516, 0.8667]"
49,"[0.8922258732655381, 0.7898, 0.8533]"
50,"[0.8922492330213508, 0.7898, 0.8533]"
