,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
1,"[0.6931372549019608, 0.6857, 0.6569]","[0.8035884321353756, 0.661, 0.9406]","[0.7889069483949613, 0.8411, 0.6348]","[0.7778652740937224, 0.8102, 0.657]","[0.7862364907819452, 0.8636, 0.6084]","[0.7894010343863573, 0.9795, 0.4401]","[0.7685290165448896, 0.801, 0.6255]"
2,"[0.7685807656395891, 0.8856, 0.5621]","[0.8783224963952444, 0.8304, 0.9069]","[0.829199512393336, 0.7943, 0.7113]","[0.7885996905393458, 0.6551, 0.7949]","[0.8359027336300064, 0.7545, 0.8094]","[0.8241630556332122, 0.8367, 0.6455]","[0.8140379608633577, 0.7092, 0.7469]"
3,"[0.798389355742297, 0.7999, 0.7484]","[0.8826209973610469, 0.8473, 0.8908]","[0.8441527834213733, 0.7943, 0.7356]","[0.8013373121131742, 0.8102, 0.6811]","[0.8466306420851875, 0.8181, 0.7919]","[0.8474454850433324, 0.8571, 0.7089]","[0.8331706139245821, 0.7143, 0.7654]"
4,"[0.8172268907563025, 0.6857, 0.8448]","[0.8826890116168348, 0.8473, 0.8908]","[0.8502885006095083, 0.8411, 0.7113]","[0.8044595490716181, 0.6724, 0.8189]","[0.8570009535918627, 0.7727, 0.8496]","[0.8484851132233715, 0.8265, 0.7329]","[0.8456265222138237, 0.8571, 0.6584]"
5,"[0.8131069094304388, 0.7428, 0.7549]","[0.8826890116168348, 0.8473, 0.8908]","[0.8535879723689558, 0.7476, 0.793]","[0.8083554376657826, 0.793, 0.7003]","[0.8771137952956135, 0.7818, 0.8584]","[0.8521107072966172, 0.8265, 0.7363]","[0.8455425380028555, 0.7755, 0.7304]"
6,"[0.8137955182072829, 0.7142, 0.7663]","[0.8826890116168348, 0.8473, 0.8908]","[0.8608858187728565, 0.7756, 0.7774]","[0.8173905835543767, 0.793, 0.7131]","[0.8799586776859505, 0.7999, 0.8584]","[0.8585232038020687, 0.8469, 0.7346]","[0.842193667590493, 0.9132, 0.6193]"
7,"[0.8119397759103641, 0.8142, 0.6503]","[0.8826890116168348, 0.8473, 0.8908]","[0.8646403900853312, 0.8224, 0.7461]","[0.8205680813439435, 0.793, 0.726]","[0.8846392244119518, 0.7999, 0.8549]","[0.8606810875034945, 0.8367, 0.7654]","[0.8475844041320231, 0.7653, 0.7716]"
8,"[0.8131302521008403, 0.6428, 0.848]","[0.8792066817204885, 0.8473, 0.9069]","[0.8746850873628605, 0.7943, 0.7913]","[0.8262875773651637, 0.8447, 0.6827]","[0.8936824539097267, 0.8181, 0.8409]","[0.8548189823874756, 0.8061, 0.7586]","[0.846524103468548, 0.7551, 0.7695]"
9,"[0.8106325863678805, 0.6571, 0.8235]","[0.8826890116168348, 0.8473, 0.8908]","[0.8736611133685493, 0.8224, 0.7669]","[0.8232344164456233, 0.7758, 0.7532]","[0.8944612205975843, 0.7999, 0.8514]","[0.8546093094772156, 0.8061, 0.7586]","[0.8474269337364575, 0.8469, 0.6914]"
10,"[0.8182072829131652, 0.7428, 0.7238]","[0.8826890116168348, 0.8473, 0.8908]","[0.8759041040227549, 0.8224, 0.7791]","[0.8239804376657824, 0.7758, 0.7564]","[0.8946519389701209, 0.7999, 0.8829]","[0.8553431646631255, 0.8163, 0.7534]","[0.8483455110439238, 0.852, 0.6914]"
