,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
1,"[0.609733893557423, 0.3715, 0.848]","[0.8035884321353756, 0.661, 0.9406]","[0.5269565217391304, 0.9999, 0.0539]","[0.6865605658709106, 0.6551, 0.7179]","[0.7143356643356643, 0.6454, 0.7832]","[0.7989586245457087, 0.7346, 0.7962]","[0.7381162341479802, 0.8877, 0.5885]"
2,"[0.6161064425770308, 0.3715, 0.848]","[0.8783224963952444, 0.8304, 0.9069]","[0.8060950832994718, 0.8411, 0.6678]","[0.7237511052166224, 0.7585, 0.6635]","[0.811959631277813, 0.7454, 0.715]","[0.8438723091976518, 0.7755, 0.7911]","[0.801419333165365, 0.8928, 0.6173]"
3,"[0.771907096171802, 0.8713, 0.5801]","[0.8826209973610469, 0.8473, 0.8908]","[0.8441527834213733, 0.7943, 0.7356]","[0.766177608311229, 0.8102, 0.6522]","[0.8461538461538461, 0.7181, 0.8164]","[0.8457593653899916, 0.7755, 0.7928]","[0.8341311833375327, 0.8418, 0.6769]"
4,"[0.7974789915966386, 0.7856, 0.7059]","[0.8826209973610469, 0.8473, 0.8908]","[0.8628606257618854, 0.8504, 0.7026]","[0.7730299513704686, 0.793, 0.6699]","[0.870208200890019, 0.8454, 0.7867]","[0.8586193038859379, 0.8571, 0.7175]","[0.8525762156714537, 0.8418, 0.714]"
5,"[0.7971171802054154, 0.7856, 0.7059]","[0.8826209973610469, 0.8473, 0.8908]","[0.8693620479479885, 0.7476, 0.8069]","[0.8095159151193635, 0.793, 0.7051]","[0.8722186904005086, 0.8454, 0.7885]","[0.8603578417668437, 0.8571, 0.7192]","[0.8512062232300327, 0.8214, 0.7284]"
6,"[0.8033846872082165, 0.8142, 0.6879]","[0.8887558832331256, 0.8643, 0.8844]","[0.8700203169443316, 0.8224, 0.7739]","[0.8115605658709107, 0.8275, 0.6875]","[0.8712571519389701, 0.8272, 0.8164]","[0.8653026279004752, 0.8367, 0.7723]","[0.850172167632485, 0.8367, 0.716]"
7,"[0.8061157796451914, 0.7714, 0.714]","[0.8824985717006285, 0.8473, 0.8908]","[0.8742950020316944, 0.8411, 0.7548]","[0.8182747568523431, 0.8102, 0.6907]","[0.8782660521296886, 0.8272, 0.8374]","[0.8707017053396702, 0.8673, 0.7568]","[0.8524344923154447, 0.8214, 0.7448]"
8,"[0.8081349206349207, 0.7428, 0.7451]","[0.8824985717006285, 0.8473, 0.8908]","[0.8784071515644046, 0.785, 0.8261]","[0.8220048629531388, 0.8102, 0.7003]","[0.8796328671328671, 0.8272, 0.8357]","[0.8742311993290466, 0.8673, 0.7723]","[0.8595731502477535, 0.8214, 0.7592]"
9,"[0.8072595704948645, 0.7571, 0.7418]","[0.8824985717006285, 0.8473, 0.8908]","[0.8799349857781389, 0.785, 0.8296]","[0.8274756852343059, 0.7241, 0.7917]","[0.8905356007628734, 0.8454, 0.8182]","[0.8775335476656416, 0.8877, 0.774]","[0.8637408667170572, 0.8469, 0.7325]"
10,"[0.8072829131652661, 0.8142, 0.6765]","[0.8824985717006285, 0.8473, 0.8908]","[0.8822429906542056, 0.8037, 0.8139]","[0.8270888594164456, 0.7241, 0.7917]","[0.8945486331849968, 0.8363, 0.8182]","[0.8807310595471065, 0.8775, 0.7808]","[0.8650321239606955, 0.7959, 0.7778]"
11,"[0.8083333333333333, 0.857, 0.6569]","[0.8824985717006285, 0.8473, 0.8908]","[0.8826655830963024, 0.8317, 0.7826]","[0.8331399204244032, 0.8447, 0.6891]","[0.8947631913541004, 0.8454, 0.8112]","[0.8842867626502657, 0.8265, 0.8288]","[0.8675516502897456, 0.8163, 0.7654]"
12,"[0.8083333333333333, 0.857, 0.6569]","[0.8824985717006285, 0.8473, 0.8908]","[0.8840308817553839, 0.8411, 0.7652]","[0.8416224580017684, 0.7413, 0.8125]","[0.8982517482517482, 0.8545, 0.8252]","[0.883631534805703, 0.8673, 0.7842]","[0.869651255563954, 0.9132, 0.6872]"
13,"[0.8077380952380953, 0.8285, 0.6781]","[0.8824985717006285, 0.8473, 0.8908]","[0.8862251117431938, 0.8317, 0.7809]","[0.8421474358974359, 0.7413, 0.8141]","[0.9001668785759696, 0.8454, 0.8496]","[0.8842081353089182, 0.8571, 0.7911]","[0.8699609473418997, 0.8469, 0.7572]"
14,"[0.807749766573296, 0.857, 0.6454]","[0.8824985717006285, 0.8473, 0.8908]","[0.8872328321820399, 0.8224, 0.7878]","[0.8491103006189212, 0.7413, 0.8157]","[0.8971471710108073, 0.8545, 0.8217]","[0.8859466731898239, 0.8673, 0.7877]","[0.8690266229948771, 0.8775, 0.7346]"
