,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: ADHD-Combined Type,Diag: Social Anxiety (Social Phobia)
100,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8792,0.7227","0.7398,0.8004","0.6999,0.7925"
99,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8792,0.7195","0.7398,0.8004","0.6999,0.7925"
98,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7388","0.7398,0.8004","0.6999,0.7925"
97,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8174","0.8908,0.8164","0.8619,0.7356","0.7398,0.8004","0.6999,0.7925"
96,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7356","0.7398,0.8004","0.6999,0.7925"
95,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7356","0.7398,0.8004","0.6999,0.7925"
94,"0.8473,0.8989","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7356","0.7398,0.8004","0.6999,0.7925"
93,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7356","0.7398,0.8004","0.6999,0.7925"
92,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8139","0.8908,0.8164","0.8619,0.734","0.7398,0.8004","0.6999,0.7925"
91,"0.8473,0.8908","0.8877,0.7277","0.8037,0.8174","0.8908,0.8164","0.8619,0.7324","0.7398,0.8004","0.6999,0.7925"
90,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7324","0.7398,0.8004","0.6999,0.7925"
89,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8278","0.8908,0.8164","0.8619,0.7324","0.7398,0.8004","0.6999,0.7925"
88,"0.8473,0.8908","0.8877,0.7277","0.7943,0.833","0.8908,0.8164","0.8619,0.7324","0.7398,0.8004","0.6999,0.7925"
87,"0.8473,0.8908","0.8877,0.7277","0.7943,0.8261","0.8908,0.8164","0.8619,0.7324","0.7398,0.8004","0.6999,0.7925"
