,Diag: Oppositional Defiant Disorder,Diag: Enuresis,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type
100,0.8581,0.8553,0.8535,0.759,0.7402,0.72,0.7168
99,0.8581,0.8192,0.8535,0.759,0.7402,0.72,0.7204
98,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
97,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
96,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
95,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
94,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
93,0.8581,0.8312,0.8535,0.7469,0.7467,0.72,0.7204
92,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
91,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
90,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
89,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
88,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
87,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
86,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
85,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
84,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
83,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
82,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
81,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
80,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
79,0.8581,0.8192,0.8535,0.7469,0.7402,0.72,0.7204
78,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
77,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
76,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
75,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
74,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
73,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
72,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
71,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
70,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
69,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
68,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7168
67,0.8581,0.8192,0.8535,0.7469,0.7467,0.72,0.7204
66,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
65,0.8581,0.8192,0.8535,0.7469,0.7402,0.72,0.7204
64,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
63,0.8581,0.8553,0.8535,0.7469,0.7467,0.72,0.7204
62,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
61,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
60,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
59,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
58,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
57,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
56,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
55,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
54,0.8581,0.8553,0.8535,0.7469,0.7402,0.72,0.7204
53,0.8581,0.8674,0.8535,0.7469,0.7402,0.72,0.7168
52,0.8581,0.8553,0.8535,0.6626,0.7467,0.72,0.7097
51,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.7097
50,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.7097
49,0.8581,0.8553,0.8535,0.6987,0.7467,0.72,0.7097
48,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.7527
47,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.7634
46,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.7634
45,0.8581,0.8553,0.8535,0.7108,0.7467,0.72,0.8674
44,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.7598
43,0.8581,0.8553,0.8535,0.7108,0.7467,0.72,0.7598
42,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.767
41,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8638
40,0.8581,0.8553,0.8535,0.7228,0.7402,0.72,0.8638
39,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.8638
38,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8602
37,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8602
36,0.8581,0.8553,0.8535,0.7228,0.7402,0.72,0.8602
35,0.8581,0.8553,0.8535,0.6747,0.7402,0.72,0.8566
34,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8602
33,0.8581,0.8553,0.8535,0.7228,0.7402,0.72,0.8602
32,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8602
31,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8566
30,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.8459
29,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.8459
28,0.8581,0.8553,0.8535,0.6987,0.7402,0.72,0.8423
27,0.8581,0.8553,0.8535,0.6987,0.7402,0.71,0.8208
26,0.8581,0.8553,0.8535,0.7108,0.7467,0.73,0.8243
25,0.8581,0.8553,0.8535,0.7108,0.7402,0.73,0.8243
24,0.8581,0.8553,0.8535,0.7108,0.7402,0.72,0.8243
23,0.851,0.8553,0.8535,0.7108,0.7402,0.72,0.853
22,0.851,0.8553,0.8344,0.7108,0.7467,0.72,0.853
21,0.8439,0.8553,0.8089,0.7108,0.7402,0.72,0.8494
20,0.8439,0.8553,0.8216,0.7108,0.7402,0.69,0.8279
19,0.8226,0.8553,0.8471,0.7108,0.7402,0.72,0.8279
18,0.9148,0.8553,0.8089,0.7108,0.7402,0.8299,0.8315
17,0.8794,0.8553,0.8152,0.7108,0.7467,0.8299,0.8315
16,0.7517,0.8553,0.7834,0.7108,0.7467,0.7799,0.8315
15,0.7517,0.8553,0.8025,0.7108,0.7467,0.75,0.8315
14,0.8156,0.8553,0.7707,0.7108,0.7467,0.8099,0.8315
13,0.8085,0.8553,0.777,0.7228,0.7597,0.71,0.8387
12,0.8156,0.8553,0.7516,0.7228,0.7857,0.69,0.8351
11,0.8297,0.8553,0.777,0.7228,0.7857,0.8499,0.8423
10,0.8297,0.8553,0.7452,0.6626,0.7857,0.74,0.8459
9,0.8085,0.8553,0.777,0.6747,0.7792,0.67,0.8459
8,0.8085,0.8553,0.7961,0.771,0.7662,0.62,0.7921
7,0.8439,0.8553,0.7643,0.6987,0.7857,0.8099,0.7957
6,0.8581,0.8553,0.7643,0.6867,0.7597,0.72,0.8889
5,0.8368,0.8553,0.7707,0.7228,0.7272,0.73,0.7993
4,0.8439,0.8553,0.7643,0.6024,0.8116,0.63,0.8745
3,0.8723,0.8553,0.8089,0.7469,0.8181,0.7,0.7813
2,0.8936,0.8192,0.7516,0.6265,0.8181,0.8899,0.767
1,0.9645,0.6626,0.8598,0.759,0.8506,0.8199,0.8208
