,Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: No Diagnosis Given,Diag: Oppositional Defiant Disorder
100,0.8475,0.8246,0.8114,0.8019,0.773,0.7164,0.7086
99,0.8722,0.8283,0.8114,0.8019,0.773,0.7108,0.7086
98,0.8475,0.8258,0.8114,0.8019,0.773,0.7354,0.7086
97,0.8475,0.8246,0.8114,0.8019,0.773,0.7287,0.7086
96,0.8475,0.8246,0.8114,0.8019,0.773,0.7298,0.7086
95,0.8475,0.8234,0.8114,0.8019,0.773,0.7298,0.7086
94,0.8475,0.8173,0.8114,0.8019,0.773,0.7298,0.7086
93,0.8621,0.8173,0.8114,0.8019,0.773,0.7309,0.7086
92,0.8475,0.8246,0.8114,0.8019,0.773,0.7298,0.7086
91,0.8475,0.8173,0.8114,0.8019,0.773,0.7309,0.7086
90,0.8475,0.8222,0.8114,0.8019,0.773,0.7276,0.7086
89,0.8475,0.8234,0.8114,0.8019,0.773,0.7276,0.7086
88,0.8475,0.8283,0.8114,0.8019,0.773,0.7276,0.7086
87,0.8475,0.8246,0.8114,0.8019,0.773,0.7265,0.7086
86,0.8475,0.8258,0.8114,0.8019,0.773,0.7265,0.7086
85,0.8475,0.8246,0.8114,0.8019,0.773,0.7276,0.7086
84,0.8475,0.8295,0.8114,0.8019,0.773,0.7265,0.7086
83,0.8475,0.8222,0.8114,0.8019,0.773,0.7197,0.7086
82,0.8475,0.8246,0.8114,0.8019,0.773,0.7399,0.7086
81,0.8475,0.8124,0.8114,0.8019,0.773,0.7399,0.7086
80,0.8475,0.8173,0.8114,0.8019,0.773,0.7399,0.7086
79,0.8643,0.8246,0.8114,0.8019,0.773,0.7399,0.7086
78,0.8475,0.8234,0.8114,0.8019,0.773,0.7399,0.7086
77,0.8475,0.8258,0.8114,0.8019,0.773,0.7388,0.7086
76,0.8475,0.8246,0.8114,0.8019,0.773,0.7388,0.7086
75,0.8554,0.8258,0.8114,0.8019,0.773,0.7354,0.7086
74,0.8475,0.8258,0.8114,0.8019,0.773,0.7623,0.7086
73,0.8475,0.8173,0.8114,0.8019,0.773,0.7646,0.7086
72,0.8475,0.8222,0.8114,0.8019,0.773,0.7657,0.7086
71,0.8475,0.8295,0.8114,0.8019,0.773,0.7657,0.7086
70,0.8475,0.8283,0.8114,0.8019,0.773,0.7657,0.7086
69,0.8475,0.8246,0.8114,0.8019,0.773,0.7657,0.7086
68,0.8475,0.8283,0.8114,0.8019,0.7715,0.7634,0.7086
67,0.8711,0.8173,0.8114,0.8019,0.7715,0.7634,0.7086
66,0.8475,0.8234,0.8114,0.8019,0.7715,0.7623,0.7086
65,0.8666,0.8283,0.8114,0.8019,0.7715,0.7623,0.7086
64,0.8475,0.8246,0.8114,0.8019,0.7715,0.7623,0.7086
63,0.8475,0.8185,0.8114,0.8019,0.7715,0.7612,0.7086
62,0.8475,0.8246,0.8114,0.8019,0.7715,0.7623,0.7086
61,0.8475,0.8295,0.8114,0.8019,0.7715,0.7612,0.7086
60,0.8475,0.8234,0.8114,0.8019,0.7701,0.7612,0.7086
59,0.8475,0.8258,0.8114,0.8019,0.7701,0.7623,0.7086
58,0.8475,0.827,0.8114,0.8019,0.7701,0.7612,0.7086
57,0.8475,0.8246,0.8114,0.8019,0.7701,0.7623,0.7086
56,0.8475,0.8258,0.8114,0.8019,0.7715,0.7612,0.7086
55,0.8475,0.8222,0.8114,0.8019,0.7715,0.7612,0.7086
54,0.8475,0.8246,0.8114,0.8019,0.7701,0.7612,0.7086
53,0.8016,0.8234,0.8114,0.8019,0.7687,0.7601,0.7086
52,0.8475,0.8173,0.8114,0.8019,0.773,0.7915,0.7086
51,0.8475,0.8246,0.8114,0.8019,0.7715,0.7825,0.7086
50,0.8475,0.8307,0.8114,0.8019,0.7701,0.7825,0.7086
49,0.8475,0.8173,0.8114,0.8019,0.7715,0.7825,0.7086
48,0.8475,0.8222,0.8114,0.8019,0.7572,0.7825,0.7086
47,0.8475,0.8234,0.8114,0.8019,0.7543,0.7825,0.7086
46,0.8475,0.8234,0.8114,0.8019,0.7514,0.7803,0.7086
45,0.8419,0.8173,0.8114,0.8019,0.6595,0.7803,0.7086
44,0.8475,0.8258,0.8114,0.8019,0.7557,0.7814,0.7086
43,0.8475,0.8173,0.8114,0.8019,0.7557,0.7747,0.7086
42,0.8475,0.8258,0.8114,0.8019,0.7529,0.7747,0.7086
41,0.8475,0.8234,0.8114,0.8019,0.6667,0.7747,0.7086
40,0.8475,0.8258,0.8114,0.8019,0.6652,0.7724,0.7086
39,0.8475,0.8258,0.8114,0.8019,0.6667,0.7847,0.7086
38,0.8475,0.8234,0.8114,0.8019,0.671,0.7679,0.7086
37,0.8475,0.8246,0.8114,0.8019,0.671,0.7679,0.7086
36,0.8475,0.827,0.8114,0.8019,0.6695,0.7646,0.7086
35,0.8475,0.8295,0.8114,0.8019,0.6724,0.7836,0.7086
34,0.8475,0.8246,0.8114,0.8019,0.671,0.7377,0.7086
33,0.8475,0.8222,0.8114,0.8019,0.671,0.7332,0.7086
32,0.8475,0.8283,0.8103,0.8019,0.6652,0.7421,0.7086
31,0.8475,0.8295,0.8103,0.8019,0.6695,0.741,0.7086
30,0.8475,0.827,0.8091,0.8019,0.681,0.7623,0.7086
29,0.8475,0.8246,0.8091,0.8019,0.6825,0.7623,0.7086
28,0.8475,0.8258,0.8126,0.8019,0.6825,0.7612,0.7086
27,0.8475,0.8246,0.816,0.8019,0.6997,0.7612,0.7086
26,0.8475,0.8222,0.8126,0.8007,0.694,0.759,0.7086
25,0.8475,0.8222,0.8091,0.8007,0.704,0.7601,0.7086
24,0.8475,0.8222,0.8114,0.8007,0.7112,0.7578,0.7098
23,0.8475,0.8283,0.8091,0.8032,0.6839,0.7567,0.7146
22,0.8475,0.8222,0.8069,0.846,0.6839,0.7556,0.7158
21,0.8475,0.8258,0.8069,0.8692,0.6825,0.7556,0.7278
20,0.8475,0.827,0.8217,0.8545,0.7055,0.7567,0.7266
19,0.8475,0.8246,0.8023,0.8178,0.7055,0.7556,0.7362
18,0.8475,0.827,0.672,0.8496,0.6997,0.7545,0.6679
17,0.8475,0.8197,0.656,0.8496,0.7083,0.7556,0.7086
16,0.8475,0.8258,0.7314,0.8618,0.7112,0.7545,0.8141
15,0.8475,0.8173,0.7566,0.8594,0.7126,0.7545,0.8022
14,0.8475,0.8136,0.7029,0.8643,0.7069,0.7489,0.7434
13,0.8475,0.7832,0.7703,0.8643,0.6997,0.7489,0.7482
12,0.8475,0.7625,0.7851,0.879,0.7141,0.741,0.7386
11,0.8475,0.7625,0.6846,0.8618,0.6954,0.7197,0.7302
10,0.8475,0.7576,0.7383,0.8777,0.6825,0.7612,0.7278
9,0.8475,0.7552,0.832,0.8594,0.6825,0.759,0.7362
8,0.8475,0.7832,0.8583,0.8533,0.7414,0.6749,0.735
7,0.8475,0.7454,0.6709,0.8508,0.7356,0.7164,0.7554
6,0.8475,0.7832,0.7771,0.8582,0.6207,0.7085,0.7314
5,0.8475,0.7954,0.7623,0.8582,0.7198,0.7007,0.7362
4,0.8475,0.7211,0.8548,0.8484,0.648,0.8128,0.7338
3,0.8475,0.7491,0.776,0.7799,0.7313,0.6973,0.717
2,0.8722,0.7211,0.6114,0.8166,0.7457,0.7915,0.6559
